skill_id	skill_level	oper_type	mp_consume	cast_range	cast_style	UNK_0	hit_time	is_magic	ani_char	desc	icon_name	icon_name2	is_ench	ench_skill_id	hp_consume	nonetext1	UNK_1	UNK_2	UNK_3	UNK_4	nonetext2
3	1	0	0	9	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	a,none\0	0	9	11	0	a,none\0
3	2	0	0	9	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	a,none\0	0	9	11	0	a,none\0
3	3	0	0	10	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	a,none\0	0	9	11	0	a,none\0
3	4	0	0	11	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	a,none\0	0	9	11	0	a,none\0
3	5	0	0	12	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	a,none\0	0	9	11	0	a,none\0
3	6	0	0	13	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	a,none\0	0	9	11	0	a,none\0
3	7	0	0	16	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	a,none\0	0	9	11	0	a,none\0
3	8	0	0	16	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	a,none\0	0	9	11	0	a,none\0
3	9	0	0	17	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	a,none\0	0	9	11	0	a,none\0
4	1	2	1	10	4294967295	1	1.00000000	0	X	4	icon.skill0004		0	0	0	a,none\0	0	8	10	0	a,none\0
4	2	2	1	21	4294967295	1	1.00000000	0	X	4	icon.skill0004		0	0	0	a,none\0	0	8	10	0	a,none\0
16	1	0	0	8	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	2	0	0	8	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	3	0	0	9	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	4	0	0	10	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	5	0	0	11	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	6	0	0	11	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	7	0	0	14	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	8	0	0	15	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	9	0	0	15	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	10	0	0	18	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	11	0	0	18	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	12	0	0	18	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	13	0	0	19	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	14	0	0	20	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	15	0	0	21	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	16	0	0	22	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	17	0	0	23	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	18	0	0	24	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	19	0	0	26	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	20	0	0	26	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	21	0	0	26	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	22	0	0	28	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	23	0	0	29	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
16	24	0	0	30	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	a,none\0	0	9	11	0	a,none\0
21	1	1	0	20	4294967295	1	1.00000000	1	X	1012	icon.skill0021		0	0	0	a,none\0	0	8	10	0	a,none\0
21	2	1	0	35	4294967295	1	1.00000000	1	X	1012	icon.skill0021		0	0	0	a,none\0	0	8	10	0	a,none\0
21	3	1	0	55	4294967295	1	1.00000000	1	X	1012	icon.skill0021		0	0	0	a,none\0	0	8	10	0	a,none\0
