id	level	name	description	desc_add1	desc_add2
3	1	a,Power Strike\0	a,Delivers a powerful blow that strikes the target with 30 Power added to P. Atk. Requires a sword or blunt weapon. Over-hit is possible.\0	a,none\0	a,none\0
3	2	a,Power Strike\0	a,Delivers a powerful blow that strikes the target with 32 Power added to P. Atk. Requires a sword or blunt weapon. Over-hit is possible.\0	a,none\0	a,none\0
3	3	a,Power Strike\0	a,Delivers a powerful blow that strikes the target with 35 Power added to P. Atk. Requires a sword or blunt weapon. Over-hit is possible.\0	a,none\0	a,none\0
3	4	a,Power Strike\0	a,Delivers a powerful blow that strikes the target with 46 Power added to P. Atk. Requires a sword or blunt weapon. Over-hit is possible.\0	a,none\0	a,none\0
3	5	a,Power Strike\0	a,Delivers a powerful blow that strikes the target with 61 Power added to P. Atk. Requires a sword or blunt weapon. Over-hit is possible.\0	a,none\0	a,none\0
3	6	a,Power Strike\0	a,Delivers a powerful blow that strikes the target with 55 Power added to P. Atk. Requires a sword or blunt weapon. Over-hit is possible.\0	a,none\0	a,none\0
3	7	a,Power Strike\0	a,Delivers a powerful blow that strikes the target with 71 Power added to P. Atk. Requires a sword or blunt weapon. Over-hit is possible.\0	a,none\0	a,none\0
3	8	a,Power Strike\0	a,Delivers a powerful blow that strikes the target with 78 Power added to P. Atk. Requires a sword or blunt weapon. Over-hit is possible.\0	a,none\0	a,none\0
3	9	a,Power Strike\0	a,Delivers a powerful blow that strikes the target with 84 Power added to P. Atk. Requires a sword or blunt weapon. Over-hit is possible.\0	a,none\0	a,none\0
4	1	a,Dash\0	a,Increases Speed by 40 for 15 seconds.\0	a,none\0	a,none\0
4	2	a,Dash\0	a,Increases Speed by 66 for 15 seconds.\0	a,none\0	a,none\0
16	1	a,Mortal Blow\0	a,Attacks the target's vital points with 73 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	2	a,Mortal Blow\0	a,Attacks the target's vital points with 80 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	3	a,Mortal Blow\0	a,Attacks the target's vital points with 88 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	4	a,Mortal Blow\0	a,Attacks the target's vital points with 115 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	5	a,Mortal Blow\0	a,Attacks the target's vital points with 126 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	6	a,Mortal Blow\0	a,Attacks the target's vital points with 137 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	7	a,Mortal Blow\0	a,Attacks the target's vital points with 178 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	8	a,Mortal Blow\0	a,Attacks the target's vital points with 193 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	9	a,Mortal Blow\0	a,Attacks the target's vital points with 210 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	10	a,Mortal Blow\0	a,Attacks the target's vital points with 268 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	11	a,Mortal Blow\0	a,Attacks the target's vital points with 291 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	12	a,Mortal Blow\0	a,Attacks the target's vital points with 314 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	13	a,Mortal Blow\0	a,Attacks the target's vital points with 367 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	14	a,Mortal Blow\0	a,Attacks the target's vital points with 396 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	15	a,Mortal Blow\0	a,Attacks the target's vital points with 427 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	16	a,Mortal Blow\0	a,Attacks the target's vital points with 494 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	17	a,Mortal Blow\0	a,Attacks the target's vital points with 531 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	18	a,Mortal Blow\0	a,Attacks the target's vital points with 571 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	19	a,Mortal Blow\0	a,Attacks the target's vital points with 656 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	20	a,Mortal Blow\0	a,Attacks the target's vital points with 703 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	21	a,Mortal Blow\0	a,Attacks the target's vital points with 752 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	22	a,Mortal Blow\0	a,Attacks the target's vital points with 859 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	23	a,Mortal Blow\0	a,Attacks the target's vital points with 916 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
16	24	a,Mortal Blow\0	a,Attacks the target's vital points with 977 Power added to P. Atk. Requires a dagger. Over-hit is possible. Cannot be used with Dual Daggers.\0	a,none\0	a,none\0
21	1	a,Poison Recovery\0	a,Cures the user of minor poisoning.\0	a,none\0	a,none\0
21	2	a,Poison Recovery\0	a,Cures the user of moderate poisoning.\0	a,none\0	a,none\0
21	3	a,Poison Recovery\0	a,Cures the user of severe poisoning.\0	a,none\0	a,none\0
28	1	a,Aggression\0	a,Provokes the target to attack with 3928 Power.\0	a,none\0	a,none\0
28	2	a,Aggression\0	a,Provokes the target to attack with 4069 Power.\0	a,none\0	a,none\0
28	3	a,Aggression\0	a,Provokes the target to attack with 4213 Power.\0	a,none\0	a,none\0
28	4	a,Aggression\0	a,Provokes the target to attack with 4508 Power.\0	a,none\0	a,none\0
28	5	a,Aggression\0	a,Provokes the target to attack with 4659 Power.\0	a,none\0	a,none\0
