2026.07.06 21:56:58,028	INFO	3	com.l2journey.commons.util.IXmlReader	Network Config: ipconfig.xml exists, using manual configuration...
2026.07.06 21:56:58,240	INFO	3	com.l2journey.Config	Loaded 6 Filter Words.
2026.07.06 21:56:58,254	INFO	3	com.l2journey.gameserver.GameServer	------------------------------------------------=[ Database ]
2026.07.06 21:56:58,454	INFO	3	com.l2journey.commons.database.DatabaseFactory	Database: HikariCP pool initialized successfully.
2026.07.06 21:58:00,434	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Problem initializing connection pool.
2026.07.06 21:58:00,449	INFO	3	com.l2journey.gameserver.GameServer	----------------------------------------------=[ ThreadPool ]
2026.07.06 21:58:00,451	INFO	3	com.l2journey.commons.threads.ThreadPool	ThreadPool: Initialized
2026.07.06 21:58:00,451	INFO	3	com.l2journey.commons.threads.ThreadPool	...scheduled pool executor with 8 high priority threads.
2026.07.06 21:58:00,468	INFO	3	com.l2journey.commons.threads.ThreadPool	...scheduled pool executor with 32 total threads.
2026.07.06 21:58:00,469	INFO	3	com.l2journey.commons.threads.ThreadPool	...instant pool executor with 16 total threads.
2026.07.06 21:58:00,471	INFO	3	com.l2journey.gameserver.GameServer	-----------------------------------------------=[ IdManager ]
2026.07.06 21:59:01,424	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 21:59:01,427	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not clean up invalid weddings: java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:00:01,910	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:00:01,914	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM account_gsdata WHERE account_gsdata.account_name NOT IN (SELECT account_name FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:01:03,572	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:01:03,575	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM character_contacts WHERE character_contacts.charId NOT IN (SELECT charId FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:02:05,459	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:02:05,463	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM character_contacts WHERE character_contacts.contactId NOT IN (SELECT charId FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:03:07,026	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:03:07,029	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM character_friends WHERE character_friends.charId NOT IN (SELECT charId FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:04:07,675	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:04:07,676	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM character_friends WHERE character_friends.friendId NOT IN (SELECT charId FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:05:08,400	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:05:08,402	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM character_hennas WHERE character_hennas.charId NOT IN (SELECT charId FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:06:09,854	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:06:09,856	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM character_macroses WHERE character_macroses.charId NOT IN (SELECT charId FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:07:11,360	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:07:11,362	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM character_quests WHERE character_quests.charId NOT IN (SELECT charId FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:08:12,936	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:08:12,940	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM character_recipebook WHERE character_recipebook.charId NOT IN (SELECT charId FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
2026.07.06 22:09:14,607	SEVERE	3	com.l2journey.commons.database.DatabaseFactory	Database: Could not get a connection.
2026.07.06 22:09:14,609	WARNING	3	com.l2journey.gameserver.managers.DatabaseIdManager	DatabaseIdManager: Could not execute cleanup query: DELETE FROM character_recipeshoplist WHERE character_recipeshoplist.charId NOT IN (SELECT charId FROM characters) - java.lang.RuntimeException: Unable to obtain a database connection.
